success,outcome,time_to_target,sim_duration,control_effort,min_safety_margin,n_infeasible,n_steps,mean_step_ms,total_solve_ms,dt_mpc,N_hor,T_hor_actual,method,cand_id,N_CANDIDATES,seed,u1_max,u2_max
True,REACHED,1.3249999999999993,1.3249999999999993,57.70028958548288,2.249930455898839e-06,0,53,142.79008171804475,7567.874331056373,0.025,50,1.25,Vanilla MPC,126,300,42,7.7,5.1
True,REACHED,1.2249999999999996,1.2249999999999996,30.563638753903938,2.0883577655380567e-06,0,49,127.54800504195856,6249.852247055969,0.025,50,1.25,Vanilla MPC,127,300,42,7.7,5.1
False,INFEASIBLE_STEP1,,0.0,0.0,5.096699190658456,1,0,893.4109169931617,893.4109169931617,0.025,50,1.25,Vanilla MPC,128,300,42,7.7,5.1
True,REACHED,1.0250000000000004,1.0250000000000004,29.826196611139583,1.5830150934295217e-06,0,41,117.08123885448624,4800.330793033936,0.025,50,1.25,Vanilla MPC,129,300,42,7.7,5.1
True,REACHED,0.7500000000000003,0.7500000000000003,17.63582532408924,0.5274434897381567,0,30,116.17223333159929,3485.166999947978,0.025,50,1.25,Vanilla MPC,130,300,42,7.7,5.1
True,REACHED,1.0500000000000005,1.0500000000000005,46.14250697133282,2.4916765620849164e-06,0,42,115.30585618969609,4842.845959967235,0.025,50,1.25,Vanilla MPC,131,300,42,7.7,5.1
True,REACHED,0.7500000000000003,0.7500000000000003,14.355743323463198,6.92119653166158,0,30,147.8374389334931,4435.123168004793,0.025,50,1.25,Vanilla MPC,132,300,42,7.7,5.1
True,REACHED,1.1749999999999998,1.1749999999999998,34.73348179525131,1.1413021344539894e-06,0,47,141.56529068094778,6653.568662004545,0.025,50,1.25,Vanilla MPC,133,300,42,7.7,5.1
True,REACHED,0.9500000000000004,0.9500000000000004,16.66119106288384,0.8208356924193737,0,38,119.2869637107881,4532.904621009948,0.025,50,1.25,Vanilla MPC,134,300,42,7.7,5.1
True,REACHED,0.375,0.375,12.675868928498504,9.604193607918909,0,15,195.38129993112912,2930.719498966937,0.025,50,1.25,Vanilla MPC,135,300,42,7.7,5.1
True,REACHED,0.8500000000000004,0.8500000000000004,19.064981566805628,2.4704924508467863e-06,0,34,120.83818505925592,4108.498292014701,0.025,50,1.25,Vanilla MPC,136,300,42,7.7,5.1
True,REACHED,1.0250000000000004,1.0250000000000004,24.386624465488328,2.037949118617264e-06,0,41,120.2467397805133,4930.116331001045,0.025,50,1.25,Vanilla MPC,137,300,42,7.7,5.1
True,REACHED,0.8750000000000004,0.8750000000000004,18.770478309869382,3.2899973076444493e-07,0,35,136.7462452871093,4786.1185850488255,0.025,50,1.25,Vanilla MPC,138,300,42,7.7,5.1
True,REACHED,0.6250000000000002,0.6250000000000002,11.531063659012611,5.183271197949879,0,25,119.72017679887358,2993.0044199718395,0.025,50,1.25,Vanilla MPC,139,300,42,7.7,5.1
False,INFEASIBLE_STEP1,,0.0,0.0,4.298763991527994,1,0,618.0006659997161,618.0006659997161,0.025,50,1.25,Vanilla MPC,140,300,42,7.7,5.1
